Organisation Name,Project Title,Project Description,Region,Amount
Freedom Ministries Incorporated,Freedom Ministries Community Food Project,"Contribute to the purchase of two industrial fridges to support the organisation to provide food distribution, meals and hospitality training services to people in the northern area who are disadvantaged, homeless and culturally diverse.",Whole of metropolitan area,"$5,000 "
Friend's of Windamere,Computers for the disadvantaged,Purchasing 10 computers to assist people with a disability to access educational programs to help them with their future outcomes,"Barossa, Eastern Adelaide, Northern Adelaide","$1,500 "
Ghanaian Association of South Australian,Ghana @60 Independence Day Celebration,"A contribution towards the costs of  the Ghana @ 60 Independence, an event targeting 150 multicultural people in South Australia.",Western Adelaide,"$3,225 "
Gilles Plains and Hampstead RSL Sub Branch,All-in-one portable sound system,"Purchasing a new sound system to replace an ageing system, assisting 1000 people attending events such as Anzac and Memorial Day.",Northern Adelaide,"$3,964 "
Grandparents For Grandchildren SA Inc,Desk Renewal and Replacement Project,"Upgrade office resources to assist volunteers and improve support services to 1,000 disadvantaged children and grandparents per year from across the state.",Statewide,"$3,200 "
Grandparents For Grandchildren SA Inc,Office Chairs For Workstations,Purchasing 16 ergonomic office chairs to assist  volunteers working at Grandparents for Grandchildren SA.,Statewide,"$3,850 "
Grandparents For Grandchildren SA Inc,Server Upgrade and Implementation,"Upgrade equipment to assist volunteers and improve support services provided to 2,000 disadvantaged children and grandparents per year from across the state.",Statewide,"$17,400 "
Grandparents For Grandchildren SA Inc,GFGSA Mobile Outreach Service vehicle,Contribute towards the cost of purchasing a vehicle to deliver services to rural and regional South Australia.,Statewide,"$29,287 "
Grandparents For Grandchildren SA Inc,GFGSA Distribution Project,Purchase resources to assist with the delivery of services across Adelaide to disadvantaged children who are being cared for by their grandparents as a result of family breakdown or crisis.,Whole of metropolitan area,"$1,953 "
Grandparents For Grandchildren SA Inc,Information and Training Projector,Purchase equipment to support training and information sessions to support volunteers and older adults caring for young people.,Statewide,"$3,870 "
Greek Orthodox Community & Parish of Norwood & Eastern Suburbs Inc,Supply and Install 2 New Electric Ovens,Replace 2 existing ovens in order to continue the free meals on wheels service and other fund raising activities.,Eastern Adelaide,"$13,660 "
Greening Australia SA Ltd,"""Increased capacity: growing the future together"" Native plant nursery upgrade for community volunteers","Contribute funds to a $33,300 project to upgrade facilities and equipment to improve workplace conditions and enhance the skills and knowledge of 80 volunteers from across the state.",Statewide,"$18,181 "
Greening Australia SA Ltd,"""Snips Please"" Native Plant Nursery Volunteer Equipment and Resources.",Purchase equipment the organisation need to support its volunteers who are disadvantaged.,Statewide,"$3,750 "
Guide Dogs Association of SA & NT Incorporated,Equipping a new in-house veterinary clinic to support the Guide Dog and Autism Assistance Dog programs,Purchasing equipment to equip a new in-house veterinary clinic to support the Guide Dog and Autism Assistance Dog programs.,Statewide,"$32,433 "
GurjariSA Inc,Navratri Garba,Contribute towards the Navratri Garba festival to bring together 400 people from various ethnic communities to celebrate and promote multiculturalism.,"Adelaide Hills, Eastern Adelaide, Northern Adelaide, Southern Adelaide, Western Adelaide","$3,090 "
Hamley Bridge Community Association,Hamley Bridge Institute Painting/Improvement,"Contribute towards the upgrade and repair work for the Institute, increasing the capacity for the community to maintain and build healthy relationships.",Yorke and Mid North,"$21,050 "
Hepatitis SA Inc,The Liver Health Project,"Fund a bi-cultural Project Worker to deliver educational sessions across Adelaide for 5,000 people of Indian and Pakistani backgrounds, to raise health awareness and increase participation in the community.",Whole of metropolitan area,"$19,666 "
Heysen CFS Group - Brukunga Brigade,Life Saving Equipment for the Brigade,"Purchase first aid equipment to support volunteers who provide first responder emergency services for 10,000 people in the Adelaide Hills region.",Adelaide Hills,"$4,000 "
Hills Community Options Inc,Withdrawal / Sensory Room for our Day Options Program clients within our Community Centre,Purchase sensory equipment and soft furnishings to establish a Withdrawal /  Sensory Room to improve the organisation's ability to support 30 high needs clients with autism from the Adelaide Hills.,Adelaide Hills,"$2,999 "
"Hindu Council Of Australia Limited, SA Chapter",Deepavali Mela 2016,Contribute to the 2016 Deepavali Festival (Hindu festival to signify victory of light over darkness).,Eastern Adelaide,"$5,000 "
Holiday Explorers Inc,My Skills + My Social Life,"Fund the 'My Skills + My Social Life' program for 40 young people aged 16-25 with an intellectual disability from across South Australia to develop life skills, social connections and community participation.",Statewide,"$5,000 "
Hope Central Inc,Upgrade of facilities,Replace existing chairs and tables at the recently renovated Hope Central Building along with replacing the carpet at the Playford KinderGym.,Northern Adelaide,"$15,700 "
Hope Partnership Incorporated,Sanctuary Cafe Office Equipment and Volunteer Hospitality Skills Empowerment,Purchasing equipment and furniture to assist 50 disadvantaged people by providing them with the tools to conduct online training and resources to build their hospitality skills.,Yorke and Mid North,"$4,362 "
"Hungarian Korosi Csoma Sandor Cultural Circle, S.A. Inc.",Upgrading digital equipment for teaching culture,Purchase computing equipment to provide the organisation with the resources it needs to conduct regular activities that support 100 culturally and linguistically diverse people from across South Australia.,Statewide,"$1,804 "
Inclusive Directions,Purchase of Developmental Equipment,"Purchase interactive learning equipment to support therapeutic programs for 150 children with disability, from across Adelaide, to develop fine motor and communication skills.",Whole of metropolitan area,"$20,000 "
Independent Advocacy SA Inc,Vehicle Purchase to Support Individual Advocacy Efforts,Purchasing a vehicle to support the provision of advocacy for vulnerable people with intellectual disability.,Statewide,"$21,104 "
Indian Australian Association of South Australia,Equipment for IAASA  Hall,"Purchase equipment to support 500 people of Indian origin from across Adelaide, to participate in community cultural activities that promote social inclusion.",Whole of metropolitan area,"$18,975 "
Indian Australian Association of South Australia,India's Independence Day Celebration,Contribute funds towards the Indian Independence Day Celebration on 14th August 2016 for 300 people from Western Adelaide to enhance their connection with each other and to their community.,Western Adelaide,"$2,500 "
Iranian Women Organisation SA,Nowruz Bazaar 2017,"Contribute towards the Nowruz (Iranian New Year) in March 2017 to support 2,000 people from diverse ethnic communities from across South Australia through a family fun day picnic to bring families and community members together.",Statewide,"$4,480 "
Iraqi Community Cultural Association of SA Inc,Iraqi Families Living in Harmony in South Australia,"A grant to assist 5 community events from May 2017 to April 2018. Including Ramadhan in May, Eid in June, end-of year get together in December, community representation in the Australia Day parade and Nowrooz in March 2018 to celebrate the new year with other Middle Eastern communities.",Whole of metropolitan area,"$3,500 "
Iraqi Families United of South Australia,"Together, for Iraq Annual Dinner",Contribute towards a cultural evening for 100 Iraqi families who have recently settled in Adelaide to assist in their transition to Australia.,Whole of metropolitan area,"$2,100 "
Italian Home Delivered Meals & Services,Royal Park Kitchen,"Contribute towards the upgrade of the Royal Park Kitchen at 12 Hardy Street, Royal Park to support preparation and delivery of meals to 70 older culturally diverse community members across Adelaide.","Northern Adelaide, Southern Adelaide, Western Adelaide","$50,000 "
Julia Farr Association Purple Orange,Youth Volunteer Prepare,"Fund Mental Health First Aid Training for 25 young volunteers (aged 18 to 20) living with a disability, to improve their skills and knowledge in mental health first aid.",Whole of metropolitan area,"$5,000 "
Junction Australia,Intervening early by equipping parents to manage their children's emerging aggressive behaviours,Employ a part time Counsellor  for 12 months to pilot an early intervention program offering 1:1 counselling and an intensive 8 week parenting program for 45 parents with children 8 to 12 years from Marion and Onkaparinga regions.,Southern Adelaide,"$47,500 "
Junction Australia,The Big Dish Up,"Contribute towards the 'Big Dish Up', a program designed to improve participants skills and knowledge of cooking nutritious foods through a live training environment.",Southern Adelaide,"$4,320 "
JusticeNet SA,Legal Practice Resources and Manual for Volunteers,Develop resources for volunteers who provide free legal services for 100 newly arrived migrants in South Australia.,Statewide,"$4,725 "
Keli Adelaide,Theatre Workshop,"A contribution towards theatre workshops, targeting 30 Indian people throughout South Australia.",Statewide,"$5,000 "
Kenya Association of South Australia,KENYA GALA NIGHT,Contribute to the Madaraka Day celebration on 3 June 2017 to support the people from the Kenyan community to more connected to each and their community.,Whole of metropolitan area,"$4,913 "
Let's Talk Together Association Inc.,The Snow Queen,Contribute towards a Russian community event to support 200 people who experience language barriers to enhance wellbeing and promote social inclusion.,Whole of metropolitan area,"$6,058 "
Lighthouse Disability Ltd,Case Management System,"Purchase IT system to support  administration processes, in particular records management of support and services provided to 115 people with diverse and complex disabilities from Northern Adelaide.",Northern Adelaide,"$50,000 "
Limestone Coast Work Options Inc,Limestone Coast Training - Website Development,"Contribute funds towards the creation of a website to assist regionally disadvantaged, young people and culturally and linguistically diverse people obtain employment.",Limestone Coast,"$3,326 "
Limestone Coast Work Options Inc,Equipment Purchase - Laptop to support LED multi-touch screen,"Purchase IT equipment to support development of 2,880 people from the Limestone Coast, who are experiencing disadvantage through unemployment or low incomes, to gain skills for employment.",Limestone Coast,"$1,566 "
Lochiel Progress Association,Kick in for Pinery Tank - Building Resilience and Natural Disaster Preparedness,Upgrade infrastructure to enhance wellbeing and resilience through essential services provided by volunteers to 360 people across the Yorke and Mid North region.,Yorke and Mid North,"$18,920 "
Lolly Jar Circus Inc.,Lolly Jar Circus Inc. volunteer recruitment and training program,Employ 2 volunteer trainers to assist running classes for the Lolly Jar Circus programs.,Whole of metropolitan area,"$4,320 "
Loxton District Landcare Inc,Igniting the Science Bug in Riverland Youth,"Contributing to the Loxton Show, by providing a science exhibition delivering interactive experiences for the enjoyment of youth experiencing isolation.",Murray and Mallee,"$2,100 "
Lutheran Community Care,?Fly Away?: Identity workshops with Afghan Youth of South Australia,"Contribute to the cost of creative workshops for 40 Afghan young people aged 15 to 29 focusing on strengthening their sense of identity, confidence and intercultural relationships.",Whole of metropolitan area,"$4,613 "
Lutheran Community Care,Facility Upgrade & Infrastructure,"Upgrade the Community Centre at Second Street, Nuriootpa to support 300 people on low incomes through programs including emergency relief, counseling, and education.",Barossa,"$3,950 "
Magwi Development Agency Australia Inc,Women of Strengths Supporting Each Other,"Contribute to a support group for Sudanese women affected by factors such as low self esteem, domestic violence and social isolation. Through a once a month facilitated session, elderly women will aim to develop life skills for vulnerable women in the community.",Whole of metropolitan area,"$5,000 "
Magwi Development Agency Australia Inc,Volunteer Trainings,Purchase IT equipment to support volunteer training to strengthen assistance provided to 250 people from new and emerging communities from across Adelaide.,Whole of metropolitan area,"$5,000 "
MANNUM AGRICULTURAL SOCIETY INC,Game Obsession Expo,"A contribution towards the Game Obsession Expo, targeting 3000 rural and isolated people.",Whole of rural area,"$4,500 "
Mannum Baptist Church,"Mother Goose Stories, Songs and Rhyme Community Engagement Playgroup","Contribute towards a $12,500 evidence-based training program for 20 volunteers across the Mid Murray region, to support the attachment and interaction between parents/carers/professionals and their young children, through mutually enjoyable activities.",Murray and Mallee,"$5,000 "
Many Threads Fund,Proclamation of Independence Day and Graduation Celebration,"Contributing towards the Proclamation of Independence Day on 23 September 2016 , a day celebrating the independence, providing an opportunity to reflect and to also promote Timor-Leste culture.",Whole of metropolitan area,"$3,220 "
Marra Dreaming,Ceiling Repairs,Contribute towards the repairing of the damaged ceiling in the pottery room.,"Whole of metropolitan area, Northern Adelaide",$940 
Marree Progress Association Inc,Marree RTC paving,"Upgrade the facility at Railway Terrace North, Marree to provide a safe centre for 200 rural and remote volunteers and disadvantaged people from the Far North region, who have limited access to services, to meet and participate in community activities.",Far North,"$20,000 "
Mid Murray Support Service Inc,R.I.S.E (Receive Intermittent Support in Emergencies),"Contribute funds to a $42,800 project to deliver the 'R.I.S.E' program, supporting 300 disadvantaged families and children from the Mid Murray region through counseling and social support to strengthen relationships and increase resilience and wellbeing.",Murray and Mallee,"$13,510 "
Milang and District Community Association Inc.,Equipment to enable volunteers to safely undertake community maintenance and restoration projects,Purchase a variety of equipment which will enable 35 volunteers to participate safely in the restoration of the Milang Lakeside Butter Factory and the maintenance of the Milang Old School House Community Centre and Milang Institute.,Fleurieu and Kangaroo Island,"$3,980 "
Milang and District Community Association Inc.,Squeaky Clean & Hygiene @ Milang Institute,Purchase a commercial dishwasher for the Milang Institute to support volunteers to provide catering at functions and events for people within the Alexandrina local area.,Fleurieu and Kangaroo Island,"$3,466 "
Milang and District Community Association Inc.,Cold Hands Warm Heart @ MOSHCC,"Contribute funds towards air conditioning for the facility at Daranda Terrace, Milang to enable 190 volunteers and geographically isolated community members from across the Fleurieu region to access programs and services in a safe and comfortable venue.",Fleurieu and Kangaroo Island,"$11,230 "
Milang and District Community Association Inc.,"Upskilling volunteers: building capacity, confidence and effectiveness to manage growth and change in community programs",A Volunteer Training Coordinator (.1 FTE) will be appointed to develop and deliver a training program for new and existing volunteers to ensure that those volunteers feel confident and competent in their roles with Milang and District Community Association Inc (MADCA) as it embarks on a period of transition and growth.,Fleurieu and Kangaroo Island,"$26,290 "
Minda Incorporated,Pedal Power: Trike transport for Day Options participants,Purchase 2 tricycles to provide both transport and leisure benefits for 330 people living with mild to severe intellectual disability who attend the Day Options program at the Minda Brighton Campus.,Southern Adelaide,"$1,908 "
Money Mob Talkabout Limited,Money Mob Talkabout Governance Project,"Contribute funds to a $17,000 project to hold information sessions in Indulkana, Mimili, Fregon, Pukatja, Amata and Pipalyatjarra to discuss governance and recruit and train 5 volunteers to be board members.",Far North,"$6,128 "
Moonta and Districts Progress Association,Equipment for Volunteers,"Purchase equipment to assist the volunteers continuing the work of developing and maintaining Victoria Park, a previously neglected community park in Moonta.",Yorke and Mid North,$968 
Motor Neurone Disease Assoc of South Australia Inc,Purchase of Audio Visual equipment,"Purchase audio visual equipment to benefit 550 people with a disability, from across South Australia, to connect people through the use of online resources that assist with mobility and communication.",Statewide,"$4,558 "
Mt Lofty Cfs Group,Lifelike Realistic Training Manikin,Contribute to the purchase of a Laerdal Crash Kelly Manikin to support 100 volunteers from the Adelaide Hills to improve their skills and knowledge.,Adelaide Hills,"$2,500 "
Multicultural Communities Council of SA Inc,Training Resources for Digital Life Admin,"Develop a pilot program with volunteers, to improve digital life skills through training for 250 culturally and linguistic seniors from across Adelaide.",Whole of metropolitan area,"$4,984 "
Multicultural Communities Council of SA Inc,Learning from each other,"Employ a coordinator to several events and outings for 4 multicultural groups. Including the Spanish speaking art group, the Kapamilya Seniors Club Inc, Polish Women's Association in Adelaide and the Russian Women's Association of SA Inc.",Whole of metropolitan area,"$2,000 "
Multicultural Communities Council of SA Inc,Expression Sessions at Kilburn,"Employ a part time social worker to coordinate a twelve month after school program at the Kilburn Community Centre, including weekly ?Expression Sessions? and therapeutic support for 60 young people aged 12 to 18 years, who are from culturally and linguistically diverse backgrounds and are at risk of disengaging from school.",Northern Adelaide,"$45,236 "
Multicultural Communities Council of SA Inc,IT upgrade,"Contribute funds to a $24,646 project to purchase IT equipment to improve the skills and knowledge of 8,500 community members and volunteers from across the state through the provision of training and services to disadvantaged culturally and linguistically diverse communities.",Statewide,"$20,000 "
Multicultural Communities Council of SA Inc,Multicultural youth development project,"Fund first aid training for 20 young people aged 12 to 25 from northern Adelaide, to improve skills, knowledge and volunteering opportunities.",Northern Adelaide,"$2,500 "
Multicultural Communities Council of SA Inc,Crockery and electrical equipment for functions,"Purchase catering equipment to provide access to a well-equipped space for community gatherings, workshops and meetings for 2500 culturally and linguistically diverse community members.",Whole of metropolitan area,"$5,000 "
Multicultural Communities Council of SA Inc,MCCSA Harmony Picnic Fun Day 2017,Contribute to the hire costs for the 2017 Harmony Day Picnic on 26 February to encourage cross cultural awareness and participation in the community.,Whole of metropolitan area,"$5,000 "
Multicultural Communities Council of SA Inc,Multicultural Play Group,Contribute to the establishment a multicultural playgroup to support women and children from culturally and linguistically diverse backgrounds be more connected to each other and their community.,Whole of metropolitan area,"$5,000 "
Multiple Sclerosis Society of South Australia and Northern Territory Inc,Come 'n Try something new,Conduct a variety of activities for people with Multiple Sclerosis to provide them an opportunity to network with others and improve their quality of life.,"Whole of metropolitan area, Adelaide Hills, Barossa, Eastern Adelaide, Eyre and Western, Limestone Coast, Murray and Mallee, Northern Adelaide, Southern Adelaide, Western Adelaide, Yorke and Mid North","$4,950 "
Murray Bridge Community Centre Incorporated,IT Upgrade,"Purchase IT equipment to support staff to provide training to 250 people from Murray Bridge, who are unemployed, socially disengaged, from culturally and linguistically diverse backgrounds and volunteers, to improve their skills and knowledge.",Murray and Mallee,"$9,349 "
Murraylands Training & Employment Association Of South Australia Inc.,Apprenticeship & Traineeship Travelling Information Hub,Purchase equipment to attract disadvantaged and remote youth to advise them of apprenticeship and trainee-ship opportunities.,Statewide,"$12,394 "
National Disability Services,The Ablepreneur Programme,A grant to assist in developing ?The Ablepreneur Programme? which would take the format of a two day workshop for 30 people with a disability across Adelaide that want to start and run their own business.,"Whole of metropolitan area, Fleurieu and Kangaroo Island, Southern Adelaide","$4,962 "
Northern Volunteering (SA) Inc,Computing/Office Efficiency Project,Purchase 12 computers to replace existing ageing equipment.,Northern Adelaide,"$11,100 "
Norton Summit - Ashton CFS Brigade,First aid course for CFS volunteers,First Aid Courses to assist 18 CFS Volunteers throughout the Adelaide Hills and Eastern Adelaide.,Adelaide Hills,"$1,425 "
Orana Incorporated,Driving New Opportunities,"Contribute towards the purchase of a suitable van to assist with the daily running of the Op Shops. For purposes such as; collect donated good from Orana collection points, deliver donated goods to Orana's sorting site, where staff and volunteers process the items and to deliver the items to the three Orana Op Shops for sale to members of the community.","Southern Adelaide, Western Adelaide","$26,650 "
Orana Incorporated,"Creating opportunities to learn, grow and thrive","Purchase equipment to strengthen education, recreation and respite programs for 90 people with disability from Charles Sturt region.",Western Adelaide,"$3,633 "
Organisation of Hellene and Hellene-Cypriot Women of Australia (SA) Inc,Purchase of Data Projector,"Purchase audio visual equipment to assist presentations to 300 culturally and linguistically diverse women from across Adelaide, that enhance wellbeing and resilience.",Whole of metropolitan area,"$2,243 "
Overseas Chinese Association of SA Inc.,Celebrate the 2017 Mid-Autumn Festival with Overseas Chinese Association,Contribute to the 2017 Mid-Autumn Festival on 1 October 2017 in Adelaide for 200 culturally diverse people to encourage cross-cultural awareness and foster intercultural relationships.,Whole of metropolitan area,"$4,600 "
Overseas Chinese Association of SA Inc.,OCA?s 35th Anniversary Celebration Open Day and Mid-Autumn Festival,"Contribute funds to a $10,000 project to deliver the Overseas Chinese Association of SA Inc's 35th Anniversary Celebration on 1 October 2016 for 600 people from various community groups. The event will feature cultural performances and promote harmony and cultural diversity.",Whole of metropolitan area,"$5,000 "
Pakistan-Australia Literary Forum (PALF) Inc,Literary and Cultural Evening,Contribute to Literary and Cultural Evening on 16 July 2017 to support 200 culturally and linguistically diverse people to be more connected to each other and their community.,Statewide,"$2,200 "
Panache Adelaide French Theatre inc,Le Mariage de Figaro,Contribute to a French language performance for 300 cultural diverse people from across South Australia to foster intercultural relationships.,Western Adelaide,"$5,000 "
Papua New Guinea Association of South Australia,Papua New Guinea Independence Celebration 2016,"Contribute funds towards the Papua New Guinea Independence Day Celebration on 17th September for 300 people; celebrating dance, music and traditional food.",Southern Adelaide,"$1,600 "
Parawa Progress Association Incorporated,Upgrade of Parawa Hall,"Contribute funds to a $18,350 project to develop the Parawa Hall, Range Road, Parawa, providing a safe facility for 120 socially isolated and disadvantaged community members from the Yankalila area. The project will increase community participation, reduce social isolation and improve the quality of life of community members and volunteers.",Fleurieu and Kangaroo Island,"$9,778 "
Parks Children's Centre Community Development Group Incorporated,"Create a natural playspace to encourage parent & child interaction, discovery and connection with the environment.","Contribute towards creating a natural play-space to encourage parent & child interaction, discovery and connection with the environment.",Western Adelaide,"$31,940 "
Pashtun Association of SA,Organisation essential equipments needs,"Purchase office equipment to provide a more efficient administrative service to 500 people from across Adelaide, who are culturally and linguistically diverse, in particular people from Afghanistan and Pakistan, who are recent arrivals.","Whole of metropolitan area, Northern Adelaide, Southern Adelaide, Western Adelaide","$4,014 "
Playford Community Fund Inc,Waterproofing deliveries and food collection,"Contribute funds to a $31,000 project to purchase a vehicle to assist volunteers with the collection, delivery and distribution of furniture and food items to 1,500 disadvantaged people per year in the Playford and surrounding regions, ensuring goods are undamaged, clean and dry and distributed to clients in good condition.",Northern Adelaide,"$18,182 "
Plaza Youth Centre,Our Space,"Contribute towards the extension of the existing Youth Shed, improving service delivery for the community.",Eyre and Western,"$26,750 "
Plaza Youth Centre,"Upgrade of Extension ""Our Space""",Purchase a hot water system and a projector for the youth group room.  Equipment will improve life skills programs and visual presentations aimed at enhancing wellbeing and resilience of 500 young people from the Eyre and Western region.,Eyre and Western,"$5,000 "
Port Augusta City Council,Positive Ageing Expo Port Augusta 2016,Contributing towards the Positive Ageing Expo Port August 2016 through the promotion of the diverse range of activities and programs offered to people following retirement. The Expo will target disadvantaged and socially isolated people to improve their interaction with the wider community.,Far North,"$4,500 "
Port Lincoln Royal Flying Doctor Auxillary,Purchase of the necessary equipment to broaden our fundraising activities,Purchase equipment the organisation needs to support and retain older volunteers from the Eyre and Western region of South Australia.,Eyre and Western,"$3,685 "
Port Pirie Youth Theatre Inc.,Mic - Up!,Purchasing equipment to assist with the demand of services in the Port Pirie Youth Theatre.,Yorke and Mid North,"$20,000 "
Punjab Aussie Association of South Australia Inc.,Vaisakhi Mela,"Contribute to the Vaisakhi Mela for 8,000 cultural diverse people and the wider South Australian community to encourage cross cultural awareness, mutual respect and community unity.",Whole of metropolitan area,"$4,700 "
Reconciliation South Australia,"""For Love of Country"" is a book for every SA ATSI service man and women - Vietnam chapter","A grant towards the Vietnam chapter in the For Love of Country, a book detailing the importance of Aboriginal and Torres Strait Islander men and women who served in peace and war since Federation.",Statewide,"$15,000 "
Reedbeds Community Centre Inc,Big BBQ,"Purchase a new BBQ to benefit 25,000 members of the community hiring the facilities at the Community Centre who include a variety of multicultural groups.",Western Adelaide,"$2,653 "
Regional Development Australia Limestone Coast Inc - Career Development Centre,Me and IT,Contribute towards the cost of purchasing IT equipment to better service an increasing number of clients accessing services.,Limestone Coast,"$18,318 "
Relationships Australia South Australia Ltd,National Sorry Day North 2017,"Contribute funds to National Sorry Day on 26th May 2017 to encourage healing through celebration for 300 Aboriginal people from the Playford, Salisbury and Gawler regions.",Northern Adelaide,"$5,000 "
Remote and Isolated Children's Exercise Inc.,Remote and Isolated Children?s Exercise 40 years Anniversary gala: a truly unique organisation serving outback SA?s children and families.,"Contributing towards the 40 year Anniversary Gala, celebrating the work undertaken by the organisation servicing the needs of isolated families and children in rural South Australia.",Far North,"$2,329 "
Riding for the Disabled Association SA Inc,Fundraising Equipement,"Purchase equipment to assist fundraising activities, benefiting 54 volunteers and people with disabilities.",Yorke and Mid North,"$1,232 "
Riding for the Disabled Association SA Inc,Tractor,Purchase equipment to support 50 volunteers who provide services that improve wellbeing and participation for young people with disability from Yorke Peninsula.,Yorke and Mid North,"$20,000 "
Riding for the Disabled Association SA Inc,Re-locate RDASA Head Office and provide infrastructure to support NDIS,Contribute towards relocating the head office and provide infrastructure to support NDIS.,Statewide,"$48,152 "
Riverland Employment and Training Services Inc.,Wheels to Wisdom,"Purchase a secondhand eight-seater van to transport disadvantage people in Renmark, Barmera, Loxton and surrounding towns to employment and training programs and services.",Murray and Mallee,"$6,990 "
Royal Society for the Blind of South Australia Inc,Creating Employment Opportunities for Blind and Vision Impaired,Purchasing a Labelling Machine and Conveyor to speed up production and provide more capacity to undertake additional contracts and increase opportunities for blind or visionally impaired people.,Whole of metropolitan area,"$25,000 "
Royal Society for the Blind of South Australia Inc,ID Card Creator for RSB Guide and Assistance Dog Volunteers,Purchase equipment to support 327 Royal Society for the Blind Guide and Assistance Dog volunteers.,"Whole of metropolitan area, Fleurieu and Kangaroo Island","$2,565 "
Royal Society For The Prevention Of Cruelty To Animals (South Australia) Incorporated,RSPCA South Australia's Volunteer Enhancement Program - Laundry Upgrade,"Upgrade the facility at the Lonsdale Shelter, 25 Meyer Road, to provide a safe and comfortable environment for 20 volunteers from Onkaparinga who are disadvantaged, socially isolated, or have a disability.",Southern Adelaide,"$3,200 "
Royal Society For The Prevention Of Cruelty To Animals (South Australia) Incorporated,Volunteer Dog Walk Shade Huts,"Install shade structures to provide an improved working environment for the organisation's volunteers who are elderly, have a disability or mental health issues and are from the South Suburbs.",Whole of metropolitan area,"$4,750 "
Royal Society For The Prevention Of Cruelty To Animals (South Australia) Incorporated,Volunteer Hut Replacement,"Upgrade the outdoor volunteer hut at the Lonsdale Shelter, 25 Meyer Road, Lonsdale, to support 180 volunteers from Onkaparinga who are disadvantaged, socially isolated, or have a disability.",Southern Adelaide,"$5,630 "
Royal Society For The Prevention Of Cruelty To Animals (South Australia) Incorporated,RSPCA South Australia's Volunteer Enhancement Program,Purchase equipment to improve the Ocupational Health and Safety for 100 volunteers per day who clean the animal shelter.,Southern Adelaide,"$3,620 "
Royal Society For The Prevention Of Cruelty To Animals (South Australia) Incorporated,RSPCA South Australia's Volunteer Enhancement Program - Thrift shops,Purchase protective clothing for 150 thrift shop volunteers who are disadvantaged.,"Northern Adelaide, Southern Adelaide, Western Adelaide","$2,312 "
Royal Society For The Prevention Of Cruelty To Animals (South Australia) Incorporated,RSPCA South Australia's Volunteer Enhancement Program,Contribute to the purchase of equipment the organisation needs to provide a safer working environment for 100 disadvantaged volunteers.,Southern Adelaide,"$1,657 "
RSL Crystal Brook Sub-branch Inc,Climate Control of Crystal Brook RSL Hall,"Contribute funds to a $14,750 project to develop the facility at 31 Brandis Street, Crystal Brook, with the installation of air conditioning, supporting 2000 disadvantaged people per year from the Yorke and Mid North region to overcome social isolation and increase community connectivity.",Yorke and Mid North,"$10,750 "
RSL Largs Bay Sub-Branch,Bringing Club Administration into the 21st Century,Purchase IT equipment to support volunteer management of the club through 25 older volunteers from Charles Sturt and Port Adelaide Enfield region. The club also supports four other community groups.,Western Adelaide,"$3,050 "
RSL Unley Sub Branch Incorporated,Clean and Renewable Energy,"Contribute funds to a $27,000 project to  develop the facility at 29 Arthur Street, Unley, by installing solar panels to increase the services and support provided to  6,200 disadvantaged community members.",Eastern Adelaide,"$11,602 "
SA Rural Women's Gathering Association Inc,South Australian Rural Womens Gathering Riverland,Contribute funds towards personal development and skill building activities for 350 women from the Loxton Waikerie region.,Murray and Mallee,"$5,000 "
Saint Francis Community Child Care Centre Inc,Not for Profit Community Based Childcare Management Committee Training,"Provide management committee training to improve educational outcomes, safety, health and wellbeing of children attending education and care services. The training will also assist with continuous improvement practice to maintain a productive environment for the Centre's volunteers.",Northern Adelaide,$826 
SALISBURY R S L SUB BRANCH INC,Installation of Grease Arrestor,Contribute to installation of commercial kitchen equipment to support cooking classes and provision of low cost meals for 250 disadvantaged people in the Salisbury region.,Northern Adelaide,"$10,000 "
Sammy D Foundation,Youth Justice Community Engagement Program,"Employ a part time program coordinator for twelve months to deliver a mentor program for twelve young offenders, aged between 12 and 18 years, from Southern Adelaide, to create personal development plans, explore positive lifestyle alternatives and promote links to their families and/or significant others.",Southern Adelaide,"$48,213 "
Sammy D Foundation,Impact- equipment funding.,Purchase equipment the organisation needs to do its work to support programs for young people and their families aimed at raising awareness and prevent violence.,Statewide,"$2,882 "
Sammy D Foundation,Connect Mentoring Engagement - Equipment Funding,Purchase equipment to support the Connect Youth Mentoring Program for 40 young people aged 8 to 18 to enhance their wellbeing and resilience.,"Northern Adelaide, Southern Adelaide, Western Adelaide","$1,195 "
Schools Ministry Group Incorporated,"HOPE Collective Stage 2: RBA, Conversation, Community Hub Scope",Employ a part time facilitator and contribute towards results based accountability training for 150 people who provide services to Whyalla Stuart community who have significant and complex social needs.,Eyre and Western,"$36,800 "
Seacliff Surf Life Saving Club Inc,BEACH ACCESS FOR PEOPLE WITH MOBILITY ISSUES,"Purchase equipment to assist 120 people with serious mobility issues from the Holdfast Bay region, with improved access to the beach and water.",Western Adelaide,"$7,210 "
Seacliff Surf Life Saving Club Inc,Purchase of a three seater all terain vehicle with carrying ability,Purchase an all terrain three seater vehicle with an adequate ute style tray that can carry not only transport a patients wheel chair but also their carer.,Western Adelaide,"$24,363 "
Second Chances SA Inc,Volunteer Equipment to expand our volunteer base and increase community awareness,Purchasing a variety of equipment to assist 150 volunteers to improve their efficiency and allow them to spend more face to face time with prisoners in prison.,"Whole of metropolitan area, Statewide","$4,915 "
